File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H60T0DnormalS18A1,10,60,LAH0,full,null,normal,61581,293157
R10H60T0DnormalS8A0,10,60,MPGM,full,null,normal,2764,298520
R10H60T0DnormalS6A0,10,60,MPGM,full,null,normal,5784,298768
R10H60T0DnormalS4A0,10,60,MPGM,full,null,normal,10086,295314
R10H60T0DnormalS14A0,10,60,MPGM,full,null,normal,11493,297678
R10H60T0DnormalS2A0,10,60,MPGM,full,null,normal,13003,294437
R10H60T0DnormalS9A0,10,60,MPGM,full,null,normal,13494,295146
R10H60T0DnormalS0A0,10,60,MPGM,full,null,normal,16430,296326
R10H60T0DnormalS19A0,10,60,MPGM,full,null,normal,18962,298979
R10H60T0DnormalS17A0,10,60,MPGM,full,null,normal,19695,294340
R10H60T0DnormalS16A0,10,60,MPGM,full,null,normal,20915,299578
R10H60T0DnormalS3A0,10,60,MPGM,full,null,normal,23091,295312
R10H60T0DnormalS7A0,10,60,MPGM,full,null,normal,27181,300455
R10H60T0DnormalS10A0,10,60,MPGM,full,null,normal,27917,294922
R10H60T0DnormalS12A0,10,60,MPGM,full,null,normal,39103,289796
R10H60T0DnormalS1A0,10,60,MPGM,full,null,normal,42904,294231
R10H60T0DnormalS11A0,10,60,MPGM,full,null,normal,46068,291498
R10H60T0DnormalS13A0,10,60,MPGM,full,null,normal,51660,293974
R10H60T0DnormalS5A0,10,60,MPGM,full,null,normal,53699,295563
R10H60T0DnormalS15A0,10,60,MPGM,full,null,normal,54377,298734
R10H60T0DnormalS18A0,10,60,MPGM,full,null,normal,61581,292767
R10H70T0DnormalS8A1,10,70,LAH0,full,null,normal,2764,348859
R10H70T0DnormalS6A1,10,70,LAH0,full,null,normal,5784,350295
R10H70T0DnormalS4A1,10,70,LAH0,full,null,normal,10086,352658
R10H70T0DnormalS14A1,10,70,LAH0,full,null,normal,11493,339077
R10H70T0DnormalS2A1,10,70,LAH0,full,null,normal,13003,347240
R10H70T0DnormalS9A1,10,70,LAH0,full,null,normal,13494,347013
R10H70T0DnormalS0A1,10,70,LAH0,full,null,normal,16430,342504
R10H70T0DnormalS19A1,10,70,LAH0,full,null,normal,18962,346010
R10H70T0DnormalS17A1,10,70,LAH0,full,null,normal,19695,343920
R10H70T0DnormalS16A1,10,70,LAH0,full,null,normal,20915,346651
R10H70T0DnormalS3A1,10,70,LAH0,full,null,normal,23091,350943
R10H70T0DnormalS7A1,10,70,LAH0,full,null,normal,27181,350498
R10H70T0DnormalS10A1,10,70,LAH0,full,null,normal,27917,347457
R10H70T0DnormalS12A1,10,70,LAH0,full,null,normal,39103,349518
R10H70T0DnormalS1A1,10,70,LAH0,full,null,normal,42904,344413
R10H70T0DnormalS11A1,10,70,LAH0,full,null,normal,46068,341843
R10H70T0DnormalS13A1,10,70,LAH0,full,null,normal,51660,346740
R10H70T0DnormalS5A1,10,70,LAH0,full,null,normal,53699,342718
R10H70T0DnormalS15A1,10,70,LAH0,full,null,normal,54377,342709
R10H70T0DnormalS18A1,10,70,LAH0,full,null,normal,61581,343820
R10H70T0DnormalS8A0,10,70,MPGM,full,null,normal,2764,347500
R10H70T0DnormalS6A0,10,70,MPGM,full,null,normal,5784,349931
R10H70T0DnormalS4A0,10,70,MPGM,full,null,normal,10086,350898
R10H70T0DnormalS14A0,10,70,MPGM,full,null,normal,11493,339077
R10H70T0DnormalS2A0,10,70,MPGM,full,null,normal,13003,346636
R10H70T0DnormalS9A0,10,70,MPGM,full,null,normal,13494,345657
R10H70T0DnormalS0A0,10,70,MPGM,full,null,normal,16430,342113
R10H70T0DnormalS19A0,10,70,MPGM,full,null,normal,18962,345742
R10H70T0DnormalS17A0,10,70,MPGM,full,null,normal,19695,341405
R10H70T0DnormalS16A0,10,70,MPGM,full,null,normal,20915,344181
R10H70T0DnormalS3A0,10,70,MPGM,full,null,normal,23091,348744
R10H70T0DnormalS7A0,10,70,MPGM,full,null,normal,27181,349009
R10H70T0DnormalS10A0,10,70,MPGM,full,null,normal,27917,347147
R10H70T0DnormalS12A0,10,70,MPGM,full,null,normal,39103,350622
R10H70T0DnormalS1A0,10,70,MPGM,full,null,normal,42904,343962
R10H70T0DnormalS11A0,10,70,MPGM,full,null,normal,46068,342501
R10H70T0DnormalS13A0,10,70,MPGM,full,null,normal,51660,344409
R10H70T0DnormalS5A0,10,70,MPGM,full,null,normal,53699,342248
R10H70T0DnormalS15A0,10,70,MPGM,full,null,normal,54377,343670
R10H70T0DnormalS18A0,10,70,MPGM,full,null,normal,61581,343863
R10H80T0DnormalS8A1,10,80,LAH0,full,null,normal,2764,393250
R10H80T0DnormalS6A1,10,80,LAH0,full,null,normal,5784,397553
R10H80T0DnormalS4A1,10,80,LAH0,full,null,normal,10086,394566
R10H80T0DnormalS14A1,10,80,LAH0,full,null,normal,11493,400961
R10H80T0DnormalS2A1,10,80,LAH0,full,null,normal,13003,400182
R10H80T0DnormalS9A1,10,80,LAH0,full,null,normal,13494,398115
R10H80T0DnormalS0A1,10,80,LAH0,full,null,normal,16430,391756
R10H80T0DnormalS19A1,10,80,LAH0,full,null,normal,18962,400664
R10H80T0DnormalS17A1,10,80,LAH0,full,null,normal,19695,400782
R10H80T0DnormalS16A1,10,80,LAH0,full,null,normal,20915,395497
R10H80T0DnormalS3A1,10,80,LAH0,full,null,normal,23091,393142
R10H80T0DnormalS7A1,10,80,LAH0,full,null,normal,27181,395369
R10H80T0DnormalS10A1,10,80,LAH0,full,null,normal,27917,400462
R10H80T0DnormalS12A1,10,80,LAH0,full,null,normal,39103,400254
R10H80T0DnormalS1A1,10,80,LAH0,full,null,normal,42904,392537
R10H80T0DnormalS11A1,10,80,LAH0,full,null,normal,46068,400052
R10H80T0DnormalS13A1,10,80,LAH0,full,null,normal,51660,399087
R10H80T0DnormalS5A1,10,80,LAH0,full,null,normal,53699,395136
R10H80T0DnormalS15A1,10,80,LAH0,full,null,normal,54377,402163
R10H80T0DnormalS18A1,10,80,LAH0,full,null,normal,61581,400387
R10H80T0DnormalS8A0,10,80,MPGM,full,null,normal,2764,393884
R10H80T0DnormalS6A0,10,80,MPGM,full,null,normal,5784,396583
R10H80T0DnormalS4A0,10,80,MPGM,full,null,normal,10086,393712
R10H80T0DnormalS14A0,10,80,MPGM,full,null,normal,11493,393555
R10H80T0DnormalS2A0,10,80,MPGM,full,null,normal,13003,399354
R10H80T0DnormalS9A0,10,80,MPGM,full,null,normal,13494,396327
R10H80T0DnormalS0A0,10,80,MPGM,full,null,normal,16430,392806
R10H80T0DnormalS19A0,10,80,MPGM,full,null,normal,18962,400302
R10H80T0DnormalS17A0,10,80,MPGM,full,null,normal,19695,399557
R10H80T0DnormalS16A0,10,80,MPGM,full,null,normal,20915,394130
R10H80T0DnormalS3A0,10,80,MPGM,full,null,normal,23091,391404
R10H80T0DnormalS7A0,10,80,MPGM,full,null,normal,27181,396236
R10H80T0DnormalS10A0,10,80,MPGM,full,null,normal,27917,395671
R10H80T0DnormalS12A0,10,80,MPGM,full,null,normal,39103,397553
R10H80T0DnormalS1A0,10,80,MPGM,full,null,normal,42904,391776
R10H80T0DnormalS11A0,10,80,MPGM,full,null,normal,46068,396234
R10H80T0DnormalS13A0,10,80,MPGM,full,null,normal,51660,396893
R10H80T0DnormalS5A0,10,80,MPGM,full,null,normal,53699,394411
R10H80T0DnormalS15A0,10,80,MPGM,full,null,normal,54377,398786
R10H80T0DnormalS18A0,10,80,MPGM,full,null,normal,61581,399116
R10H90T0DnormalS8A1,10,90,LAH0,full,null,normal,2764,447975
R10H90T0DnormalS6A1,10,90,LAH0,full,null,normal,5784,456440
R10H90T0DnormalS4A1,10,90,LAH0,full,null,normal,10086,450934
R10H90T0DnormalS14A1,10,90,LAH0,full,null,normal,11493,453791
R10H90T0DnormalS2A1,10,90,LAH0,full,null,normal,13003,445711
R10H90T0DnormalS9A1,10,90,LAH0,full,null,normal,13494,441145
R10H90T0DnormalS0A1,10,90,LAH0,full,null,normal,16430,444505
R10H90T0DnormalS19A1,10,90,LAH0,full,null,normal,18962,442080
R10H90T0DnormalS17A1,10,90,LAH0,full,null,normal,19695,450353
R10H90T0DnormalS16A1,10,90,LAH0,full,null,normal,20915,449659
R10H90T0DnormalS3A1,10,90,LAH0,full,null,normal,23091,458590
R10H90T0DnormalS7A1,10,90,LAH0,full,null,normal,27181,451036
R10H90T0DnormalS10A1,10,90,LAH0,full,null,normal,27917,450406
R10H90T0DnormalS12A1,10,90,LAH0,full,null,normal,39103,449215
R10H90T0DnormalS1A1,10,90,LAH0,full,null,normal,42904,440587
R10H90T0DnormalS11A1,10,90,LAH0,full,null,normal,46068,453729
R10H90T0DnormalS13A1,10,90,LAH0,full,null,normal,51660,448221
R10H90T0DnormalS5A1,10,90,LAH0,full,null,normal,53699,435528
R10H90T0DnormalS15A1,10,90,LAH0,full,null,normal,54377,448322
R10H90T0DnormalS18A1,10,90,LAH0,full,null,normal,61581,444454
R10H90T0DnormalS8A0,10,90,MPGM,full,null,normal,2764,448644
R10H90T0DnormalS6A0,10,90,MPGM,full,null,normal,5784,451752
R10H90T0DnormalS4A0,10,90,MPGM,full,null,normal,10086,449256
R10H90T0DnormalS14A0,10,90,MPGM,full,null,normal,11493,451244
R10H90T0DnormalS2A0,10,90,MPGM,full,null,normal,13003,446152
R10H90T0DnormalS9A0,10,90,MPGM,full,null,normal,13494,439562
R10H90T0DnormalS0A0,10,90,MPGM,full,null,normal,16430,442555
R10H90T0DnormalS19A0,10,90,MPGM,full,null,normal,18962,441368
R10H90T0DnormalS17A0,10,90,MPGM,full,null,normal,19695,447895
R10H90T0DnormalS16A0,10,90,MPGM,full,null,normal,20915,452229
R10H90T0DnormalS3A0,10,90,MPGM,full,null,normal,23091,452395
R10H90T0DnormalS7A0,10,90,MPGM,full,null,normal,27181,450400
R10H90T0DnormalS10A0,10,90,MPGM,full,null,normal,27917,448436
R10H90T0DnormalS12A0,10,90,MPGM,full,null,normal,39103,448823
R10H90T0DnormalS1A0,10,90,MPGM,full,null,normal,42904,439336
R10H90T0DnormalS11A0,10,90,MPGM,full,null,normal,46068,453718
R10H90T0DnormalS13A0,10,90,MPGM,full,null,normal,51660,447162
R10H90T0DnormalS5A0,10,90,MPGM,full,null,normal,53699,435821
R10H90T0DnormalS15A0,10,90,MPGM,full,null,normal,54377,448741
R10H90T0DnormalS18A0,10,90,MPGM,full,null,normal,61581,443684
R10H100T0DnormalS8A1,10,100,LAH0,full,null,normal,2764,497809
R10H100T0DnormalS6A1,10,100,LAH0,full,null,normal,5784,505546
R10H100T0DnormalS4A1,10,100,LAH0,full,null,normal,10086,490927
R10H100T0DnormalS14A1,10,100,LAH0,full,null,normal,11493,493725
R10H100T0DnormalS2A1,10,100,LAH0,full,null,normal,13003,492437
R10H100T0DnormalS9A1,10,100,LAH0,full,null,normal,13494,503388
R10H100T0DnormalS0A1,10,100,LAH0,full,null,normal,16430,497070
R10H100T0DnormalS19A1,10,100,LAH0,full,null,normal,18962,497706
R10H100T0DnormalS17A1,10,100,LAH0,full,null,normal,19695,506305
R10H100T0DnormalS16A1,10,100,LAH0,full,null,normal,20915,498847
