File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H20T4DnormalS1A0,10,20,LAH0,random,1.2,normal,30125,28234.0
R10H20T5DnormalS1A0,10,20,LAH0,random,1.5,normal,30125,36244.0
R10H20T6DnormalS1A0,10,20,LAH0,random,2.0,normal,30125,45527.0
R10H20T7DnormalS1A0,10,20,LAH0,random,3.0,normal,30125,69535.0
R10H20T8DnormalS4A0,10,20,LAH0,random,6.0,normal,33626,0.0
R10H20T2DnormalS4A0,10,20,LAH0,random,0.8,normal,33626,38762.0
R10H20T1DnormalS4A0,10,20,LAH0,random,0.5,normal,33626,38762.0
R10H20T3DnormalS4A0,10,20,LAH0,random,1.0,normal,33626,38762.0
R10H20T4DnormalS4A0,10,20,LAH0,random,1.2,normal,33626,38762.0
R10H20T5DnormalS4A0,10,20,LAH0,random,1.5,normal,33626,38762.0
R10H20T6DnormalS4A0,10,20,LAH0,random,2.0,normal,33626,47282.0
R10H20T7DnormalS4A0,10,20,LAH0,random,3.0,normal,33626,67591.0
R10H20T8DnormalS5A0,10,20,LAH0,random,6.0,normal,34445,0.0
R10H20T1DnormalS5A0,10,20,LAH0,random,0.5,normal,34445,16260.0
R10H20T2DnormalS5A0,10,20,LAH0,random,0.8,normal,34445,18350.0
R10H20T3DnormalS5A0,10,20,LAH0,random,1.0,normal,34445,23477.0
R10H20T4DnormalS5A0,10,20,LAH0,random,1.2,normal,34445,28325.0
R10H20T5DnormalS5A0,10,20,LAH0,random,1.5,normal,34445,34945.0
R10H20T6DnormalS5A0,10,20,LAH0,random,2.0,normal,34445,46365.0
R10H20T7DnormalS5A0,10,20,LAH0,random,3.0,normal,34445,68177.0
R10H20T8DnormalS0A0,10,20,LAH0,random,6.0,normal,36223,0.0
R10H20T1DnormalS0A0,10,20,LAH0,random,0.5,normal,36223,31021.0
R10H20T2DnormalS0A0,10,20,LAH0,random,0.8,normal,36223,31021.0
R10H20T3DnormalS0A0,10,20,LAH0,random,1.0,normal,36223,31021.0
R10H20T4DnormalS0A0,10,20,LAH0,random,1.2,normal,36223,31021.0
R10H20T5DnormalS0A0,10,20,LAH0,random,1.5,normal,36223,35492.0
R10H20T6DnormalS0A0,10,20,LAH0,random,2.0,normal,36223,46965.0
R10H20T7DnormalS0A0,10,20,LAH0,random,3.0,normal,36223,67167.0
R10H20T8DnormalS8A0,10,20,LAH0,random,6.0,normal,37611,0.0
R10H20T2DnormalS8A0,10,20,LAH0,random,0.8,normal,37611,30344.0
R10H20T1DnormalS8A0,10,20,LAH0,random,0.5,normal,37611,30344.0
R10H20T3DnormalS8A0,10,20,LAH0,random,1.0,normal,37611,30344.0
R10H20T4DnormalS8A0,10,20,LAH0,random,1.2,normal,37611,30344.0
R10H20T5DnormalS8A0,10,20,LAH0,random,1.5,normal,37611,34189.0
R10H20T6DnormalS8A0,10,20,LAH0,random,2.0,normal,37611,45969.0
R10H20T7DnormalS8A0,10,20,LAH0,random,3.0,normal,37611,67285.0
R10H20T8DnormalS9A0,10,20,LAH0,random,6.0,normal,59237,0.0
R10H20T1DnormalS9A0,10,20,LAH0,random,0.5,normal,59237,23390.0
R10H20T3DnormalS9A0,10,20,LAH0,random,1.0,normal,59237,23390.0
R10H20T2DnormalS9A0,10,20,LAH0,random,0.8,normal,59237,23390.0
R10H20T4DnormalS9A0,10,20,LAH0,random,1.2,normal,59237,28442.0
R10H20T5DnormalS9A0,10,20,LAH0,random,1.5,normal,59237,34802.0
R10H20T6DnormalS9A0,10,20,LAH0,random,2.0,normal,59237,46945.0
R10H20T7DnormalS9A0,10,20,LAH0,random,3.0,normal,59237,65662.0
R10H30T0DnormalS7A0,10,30,LAH0,chain,null,normal,5312,32321.0
R10H30T0DnormalS2A0,10,30,LAH0,chain,null,normal,5680,31386.0
R10H30T0DnormalS6A0,10,30,LAH0,chain,null,normal,6325,31587.0
R10H30T0DnormalS3A0,10,30,LAH0,chain,null,normal,28060,31075.0
R10H30T0DnormalS1A0,10,30,LAH0,chain,null,normal,30125,31552.0
R10H30T0DnormalS4A0,10,30,LAH0,chain,null,normal,33626,33241.0
R10H30T0DnormalS5A0,10,30,LAH0,chain,null,normal,34445,33241.0
R10H30T0DnormalS0A0,10,30,LAH0,chain,null,normal,36223,32068.0
R10H30T0DnormalS8A0,10,30,LAH0,chain,null,normal,37611,31910.0
R10H30T0DnormalS9A0,10,30,LAH0,chain,null,normal,59237,33748.0
R10H30T9DnormalS7A0,10,30,LAH0,full,null,normal,5312,149216.0
R10H30T9DnormalS2A0,10,30,LAH0,full,null,normal,5680,147867.0
R10H30T9DnormalS6A0,10,30,LAH0,full,null,normal,6325,147260.0
R10H30T9DnormalS3A0,10,30,LAH0,full,null,normal,28060,147050.0
R10H30T9DnormalS1A0,10,30,LAH0,full,null,normal,30125,152296.0
R10H30T9DnormalS4A0,10,30,LAH0,full,null,normal,33626,149969.0
R10H30T9DnormalS5A0,10,30,LAH0,full,null,normal,34445,147738.0
R10H30T9DnormalS0A0,10,30,LAH0,full,null,normal,36223,148396.0
R10H30T9DnormalS8A0,10,30,LAH0,full,null,normal,37611,146083.0
R10H30T9DnormalS9A0,10,30,LAH0,full,null,normal,59237,149627.0
R10H30T8DnormalS7A0,10,30,LAH0,random,6.0,normal,5312,0.0
R10H30T1DnormalS7A0,10,30,LAH0,random,0.5,normal,5312,32886.0
R10H30T2DnormalS7A0,10,30,LAH0,random,0.8,normal,5312,32886.0
R10H30T3DnormalS7A0,10,30,LAH0,random,1.0,normal,5312,35223.0
R10H30T4DnormalS7A0,10,30,LAH0,random,1.2,normal,5312,42590.0
R10H30T5DnormalS7A0,10,30,LAH0,random,1.5,normal,5312,53998.0
R10H30T6DnormalS7A0,10,30,LAH0,random,2.0,normal,5312,70730.0
R10H30T7DnormalS7A0,10,30,LAH0,random,3.0,normal,5312,101304.0
R10H30T8DnormalS2A0,10,30,LAH0,random,6.0,normal,5680,0.0
R10H30T1DnormalS2A0,10,30,LAH0,random,0.5,normal,5680,35890.0
R10H30T2DnormalS2A0,10,30,LAH0,random,0.8,normal,5680,35890.0
R10H30T3DnormalS2A0,10,30,LAH0,random,1.0,normal,5680,35890.0
R10H30T4DnormalS2A0,10,30,LAH0,random,1.2,normal,5680,41755.0
R10H30T5DnormalS2A0,10,30,LAH0,random,1.5,normal,5680,53245.0
R10H30T6DnormalS2A0,10,30,LAH0,random,2.0,normal,5680,69888.0
R10H30T7DnormalS2A0,10,30,LAH0,random,3.0,normal,5680,102303.0
R10H30T8DnormalS6A0,10,30,LAH0,random,6.0,normal,6325,0.0
R10H30T1DnormalS6A0,10,30,LAH0,random,0.5,normal,6325,42614.0
R10H30T2DnormalS6A0,10,30,LAH0,random,0.8,normal,6325,42614.0
R10H30T3DnormalS6A0,10,30,LAH0,random,1.0,normal,6325,42614.0
R10H30T4DnormalS6A0,10,30,LAH0,random,1.2,normal,6325,42614.0
R10H30T5DnormalS6A0,10,30,LAH0,random,1.5,normal,6325,52110.0
R10H30T6DnormalS6A0,10,30,LAH0,random,2.0,normal,6325,68319.0
R10H30T7DnormalS6A0,10,30,LAH0,random,3.0,normal,6325,101353.0
R10H30T8DnormalS3A0,10,30,LAH0,random,6.0,normal,28060,0.0
R10H30T1DnormalS3A0,10,30,LAH0,random,0.5,normal,28060,46374.0
R10H30T2DnormalS3A0,10,30,LAH0,random,0.8,normal,28060,46374.0
R10H30T3DnormalS3A0,10,30,LAH0,random,1.0,normal,28060,46374.0
R10H30T4DnormalS3A0,10,30,LAH0,random,1.2,normal,28060,46374.0
R10H30T5DnormalS3A0,10,30,LAH0,random,1.5,normal,28060,53662.0
R10H30T6DnormalS3A0,10,30,LAH0,random,2.0,normal,28060,68824.0
R10H30T7DnormalS3A0,10,30,LAH0,random,3.0,normal,28060,99273.0
R10H30T8DnormalS1A0,10,30,LAH0,random,6.0,normal,30125,0.0
R10H30T1DnormalS1A0,10,30,LAH0,random,0.5,normal,30125,38306.0
R10H30T2DnormalS1A0,10,30,LAH0,random,0.8,normal,30125,38306.0
R10H30T3DnormalS1A0,10,30,LAH0,random,1.0,normal,30125,38306.0
R10H30T4DnormalS1A0,10,30,LAH0,random,1.2,normal,30125,41439.0
R10H30T5DnormalS1A0,10,30,LAH0,random,1.5,normal,30125,53019.0
R10H30T6DnormalS1A0,10,30,LAH0,random,2.0,normal,30125,66254.0
R10H30T7DnormalS1A0,10,30,LAH0,random,3.0,normal,30125,98850.0
R10H30T8DnormalS4A0,10,30,LAH0,random,6.0,normal,33626,0.0
R10H30T1DnormalS4A0,10,30,LAH0,random,0.5,normal,33626,57598.0
R10H30T2DnormalS4A0,10,30,LAH0,random,0.8,normal,33626,57598.0
R10H30T3DnormalS4A0,10,30,LAH0,random,1.0,normal,33626,57598.0
R10H30T4DnormalS4A0,10,30,LAH0,random,1.2,normal,33626,57598.0
R10H30T5DnormalS4A0,10,30,LAH0,random,1.5,normal,33626,57598.0
R10H30T6DnormalS4A0,10,30,LAH0,random,2.0,normal,33626,66931.0
R10H30T7DnormalS4A0,10,30,LAH0,random,3.0,normal,33626,101942.0
R10H30T8DnormalS5A0,10,30,LAH0,random,6.0,normal,34445,0.0
R10H30T1DnormalS5A0,10,30,LAH0,random,0.5,normal,34445,25294.0
R10H30T2DnormalS5A0,10,30,LAH0,random,0.8,normal,34445,29076.0
R10H30T3DnormalS5A0,10,30,LAH0,random,1.0,normal,34445,37994.0
R10H30T4DnormalS5A0,10,30,LAH0,random,1.2,normal,34445,41118.0
R10H30T5DnormalS5A0,10,30,LAH0,random,1.5,normal,34445,53417.0
R10H30T6DnormalS5A0,10,30,LAH0,random,2.0,normal,34445,71616.0
R10H30T7DnormalS5A0,10,30,LAH0,random,3.0,normal,34445,99703.0
R10H30T8DnormalS0A0,10,30,LAH0,random,6.0,normal,36223,0.0
R10H30T1DnormalS0A0,10,30,LAH0,random,0.5,normal,36223,45068.0
R10H30T2DnormalS0A0,10,30,LAH0,random,0.8,normal,36223,45068.0
R10H30T3DnormalS0A0,10,30,LAH0,random,1.0,normal,36223,45068.0
R10H30T4DnormalS0A0,10,30,LAH0,random,1.2,normal,36223,45068.0
R10H30T5DnormalS0A0,10,30,LAH0,random,1.5,normal,36223,50646.0
R10H30T6DnormalS0A0,10,30,LAH0,random,2.0,normal,36223,68754.0
R10H30T7DnormalS0A0,10,30,LAH0,random,3.0,normal,36223,102501.0
R10H30T8DnormalS8A0,10,30,LAH0,random,6.0,normal,37611,0.0
R10H30T1DnormalS8A0,10,30,LAH0,random,0.5,normal,37611,45350.0
R10H30T2DnormalS8A0,10,30,LAH0,random,0.8,normal,37611,45350.0
R10H30T3DnormalS8A0,10,30,LAH0,random,1.0,normal,37611,45350.0
R10H30T4DnormalS8A0,10,30,LAH0,random,1.2,normal,37611,45350.0
R10H30T5DnormalS8A0,10,30,LAH0,random,1.5,normal,37611,51898.0
R10H30T6DnormalS8A0,10,30,LAH0,random,2.0,normal,37611,68495.0
R10H30T7DnormalS8A0,10,30,LAH0,random,3.0,normal,37611,101206.0
R10H30T8DnormalS9A0,10,30,LAH0,random,6.0,normal,59237,0.0
R10H30T1DnormalS9A0,10,30,LAH0,random,0.5,normal,59237,35995.0
R10H30T2DnormalS9A0,10,30,LAH0,random,0.8,normal,59237,35995.0
R10H30T3DnormalS9A0,10,30,LAH0,random,1.0,normal,59237,35995.0
R10H30T4DnormalS9A0,10,30,LAH0,random,1.2,normal,59237,43460.0
R10H30T5DnormalS9A0,10,30,LAH0,random,1.5,normal,59237,52524.0
R10H30T6DnormalS9A0,10,30,LAH0,random,2.0,normal,59237,66951.0
R10H30T7DnormalS9A0,10,30,LAH0,random,3.0,normal,59237,99667.0
R10H40T0DnormalS7A0,10,40,LAH0,chain,null,normal,5312,43291.0
R10H40T0DnormalS2A0,10,40,LAH0,chain,null,normal,5680,42323.0
R10H40T0DnormalS6A0,10,40,LAH0,chain,null,normal,6325,43333.0
R10H40T0DnormalS3A0,10,40,LAH0,chain,null,normal,28060,42115.0
R10H40T0DnormalS1A0,10,40,LAH0,chain,null,normal,30125,43099.0
R10H40T0DnormalS4A0,10,40,LAH0,chain,null,normal,33626,43257.0
R10H40T0DnormalS5A0,10,40,LAH0,chain,null,normal,34445,44616.0
R10H40T0DnormalS0A0,10,40,LAH0,chain,null,normal,36223,43251.0
R10H40T0DnormalS8A0,10,40,LAH0,chain,null,normal,37611,43075.0
R10H40T0DnormalS9A0,10,40,LAH0,chain,null,normal,59237,45581.0
R10H40T9DnormalS7A0,10,40,LAH0,full,null,normal,5312,197033.0
R10H40T9DnormalS2A0,10,40,LAH0,full,null,normal,5680,195388.0
R10H40T9DnormalS6A0,10,40,LAH0,full,null,normal,6325,198531.0
R10H40T9DnormalS3A0,10,40,LAH0,full,null,normal,28060,198187.0
R10H40T9DnormalS1A0,10,40,LAH0,full,null,normal,30125,195101.0
R10H40T9DnormalS4A0,10,40,LAH0,full,null,normal,33626,197733.0
R10H40T9DnormalS5A0,10,40,LAH0,full,null,normal,34445,197760.0
R10H40T9DnormalS0A0,10,40,LAH0,full,null,normal,36223,199817.0
R10H40T9DnormalS8A0,10,40,LAH0,full,null,normal,37611,197178.0
R10H40T9DnormalS9A0,10,40,LAH0,full,null,normal,59237,195481.0
R10H40T8DnormalS7A0,10,40,LAH0,random,6.0,normal,5312,0.0
R10H40T1DnormalS7A0,10,40,LAH0,random,0.5,normal,5312,44473.0
R10H40T2DnormalS7A0,10,40,LAH0,random,0.8,normal,5312,44473.0
R10H40T3DnormalS7A0,10,40,LAH0,random,1.0,normal,5312,48798.0
R10H40T4DnormalS7A0,10,40,LAH0,random,1.2,normal,5312,57891.0
R10H40T5DnormalS7A0,10,40,LAH0,random,1.5,normal,5312,67843.0
R10H40T6DnormalS7A0,10,40,LAH0,random,2.0,normal,5312,89642.0
R10H40T7DnormalS7A0,10,40,LAH0,random,3.0,normal,5312,133840.0
R10H40T8DnormalS2A0,10,40,LAH0,random,6.0,normal,5680,0.0
R10H40T1DnormalS2A0,10,40,LAH0,random,0.5,normal,5680,49173.0
R10H40T3DnormalS2A0,10,40,LAH0,random,1.0,normal,5680,49173.0
R10H40T2DnormalS2A0,10,40,LAH0,random,0.8,normal,5680,49173.0
R10H40T4DnormalS2A0,10,40,LAH0,random,1.2,normal,5680,55972.0
R10H40T5DnormalS2A0,10,40,LAH0,random,1.5,normal,5680,69446.0
R10H40T6DnormalS2A0,10,40,LAH0,random,2.0,normal,5680,90567.0
R10H40T7DnormalS2A0,10,40,LAH0,random,3.0,normal,5680,131352.0
R10H40T8DnormalS6A0,10,40,LAH0,random,6.0,normal,6325,0.0
R10H40T4DnormalS6A0,10,40,LAH0,random,1.2,normal,6325,56020.0
R10H40T1DnormalS6A0,10,40,LAH0,random,0.5,normal,6325,56020.0
