File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H30T1DnormalS4A0,10,30,MPGM,random,0.5,normal,33626,52975.0
R10H30T2DnormalS4A0,10,30,MPGM,random,0.8,normal,33626,52975.0
R10H30T3DnormalS4A0,10,30,MPGM,random,1.0,normal,33626,52975.0
R10H30T4DnormalS4A0,10,30,MPGM,random,1.2,normal,33626,52975.0
R10H30T5DnormalS4A0,10,30,MPGM,random,1.5,normal,33626,52975.0
R10H30T6DnormalS4A0,10,30,MPGM,random,2.0,normal,33626,63280.0
R10H30T7DnormalS4A0,10,30,MPGM,random,3.0,normal,33626,98631.0
R10H30T8DnormalS5A0,10,30,MPGM,random,6.0,normal,34445,0.0
R10H30T1DnormalS5A0,10,30,MPGM,random,0.5,normal,34445,20899.0
R10H30T2DnormalS5A0,10,30,MPGM,random,0.8,normal,34445,24683.0
R10H30T3DnormalS5A0,10,30,MPGM,random,1.0,normal,34445,33138.0
R10H30T4DnormalS5A0,10,30,MPGM,random,1.2,normal,34445,37800.0
R10H30T5DnormalS5A0,10,30,MPGM,random,1.5,normal,34445,46856.0
R10H30T6DnormalS5A0,10,30,MPGM,random,2.0,normal,34445,64524.0
R10H30T7DnormalS5A0,10,30,MPGM,random,3.0,normal,34445,100252.0
R10H30T8DnormalS0A0,10,30,MPGM,random,6.0,normal,36223,0.0
R10H30T1DnormalS0A0,10,30,MPGM,random,0.5,normal,36223,42023.0
R10H30T2DnormalS0A0,10,30,MPGM,random,0.8,normal,36223,42023.0
R10H30T3DnormalS0A0,10,30,MPGM,random,1.0,normal,36223,42023.0
R10H30T4DnormalS0A0,10,30,MPGM,random,1.2,normal,36223,42023.0
R10H30T5DnormalS0A0,10,30,MPGM,random,1.5,normal,36223,47598.0
R10H30T6DnormalS0A0,10,30,MPGM,random,2.0,normal,36223,66061.0
R10H30T7DnormalS0A0,10,30,MPGM,random,3.0,normal,36223,94628.0
R10H30T8DnormalS8A0,10,30,MPGM,random,6.0,normal,37611,0.0
R10H30T1DnormalS8A0,10,30,MPGM,random,0.5,normal,37611,43682.0
R10H30T2DnormalS8A0,10,30,MPGM,random,0.8,normal,37611,43682.0
R10H30T3DnormalS8A0,10,30,MPGM,random,1.0,normal,37611,43682.0
R10H30T4DnormalS8A0,10,30,MPGM,random,1.2,normal,37611,43682.0
R10H30T5DnormalS8A0,10,30,MPGM,random,1.5,normal,37611,47305.0
R10H30T6DnormalS8A0,10,30,MPGM,random,2.0,normal,37611,63828.0
R10H30T7DnormalS8A0,10,30,MPGM,random,3.0,normal,37611,94829.0
R10H30T8DnormalS9A0,10,30,MPGM,random,6.0,normal,59237,0.0
R10H30T1DnormalS9A0,10,30,MPGM,random,0.5,normal,59237,32125.0
R10H30T2DnormalS9A0,10,30,MPGM,random,0.8,normal,59237,32125.0
R10H30T3DnormalS9A0,10,30,MPGM,random,1.0,normal,59237,32125.0
R10H30T4DnormalS9A0,10,30,MPGM,random,1.2,normal,59237,38885.0
R10H30T5DnormalS9A0,10,30,MPGM,random,1.5,normal,59237,45825.0
